epoch,lr,train_loss,train_acc,train_bal_acc,train_precision_macro,train_recall_macro,train_f1_macro,val_loss,val_acc,val_bal_acc,val_precision_macro,val_recall_macro,val_f1_macro,epoch_time_sec,train_top2_acc,val_top2_acc,train_auc,val_auc
1,9.972609476841367e-05,0.4132257433843881,0.8127425571941641,0.8127425571941642,0.8133202714014427,0.8127425571941642,0.812656198932825,0.4779547015383498,0.8094534711964549,0.7389440175119933,0.6952268833192824,0.7389440175119933,0.7113975974367306,686.6487419605255,nan,nan,0.8917085942899812,0.8163535118449079
2,9.890738003669029e-05,0.3267201667356331,0.8602870561614461,0.860287056161446,0.8609060521949465,0.860287056161446,0.8602271244596749,0.5167872411214604,0.8116268325535695,0.7390015686677904,0.6972056059263332,0.7390015686677904,0.7129895447463375,698.8581166267395,nan,nan,0.9343124719800138,0.8195580950661738
3,9.755282581475769e-05,0.2929818735455641,0.8766329443647797,0.8766329443647797,0.8770236600061334,0.8766329443647797,0.8766009742694016,0.4593459119018971,0.837401336552164,0.6918584870122613,0.7225954661779316,0.6918584870122613,0.7048997953035867,698.466242313385,nan,nan,0.9478177967196113,0.7926384259225301
4,9.567727288213003e-05,0.2717019855629516,0.8870653703971689,0.8870653703971689,0.8873364749373303,0.8870653703971689,0.8870456056376353,0.572067823000653,0.814275210015682,0.7300363556763876,0.6972717777385079,0.7300363556763876,0.7105331456733481,693.3952033519745,nan,nan,0.9554832700972326,0.8057437733225323
5,9.330127018922194e-05,0.25391546302689044,0.8945246207885493,0.8945246207885493,0.8947452369410832,0.8945246207885493,0.8945098816467791,0.4636395760852111,0.8329960502085516,0.7096986305599644,0.7163998864169441,0.7096986305599644,0.7129352475817021,707.622980594635,nan,nan,0.9611553318263608,0.8159698578247246
6,9.045084971874738e-05,0.24042047646180972,0.90128662202518,0.9012866220251798,0.901458540440877,0.9012866220251798,0.9012760527740065,0.5060764566129913,0.8421580046720762,0.649760993081246,0.738585101163276,0.649760993081246,0.6757344130485159,672.6477072238922,nan,nan,0.9653642791789785,0.7919815898732736
7,8.715724127386972e-05,0.22632178513986315,0.9087392945943457,0.9087392945943458,0.9088302845434235,0.9087392945943458,0.9087342165281501,0.4911874934089621,0.8316100443131462,0.702992519358737,0.7134301247734316,0.702992519358737,0.7079291626997576,631.3366055488586,nan,nan,0.9694629428472465,0.8045718182399576
8,8.345653031794292e-05,0.215718930279227,0.9125083867233237,0.9125083867233237,0.9126371952616125,0.9125083867233237,0.9125015583602365,0.548967844228852,0.8387808353776378,0.6644947336299611,0.7263523094381623,0.6644947336299611,0.6860242745293643,669.8144202232361,nan,nan,0.9722254871245386,0.7837557808885509
9,7.938926261462366e-05,0.205375894706534,0.9178101114283083,0.9178101114283084,0.9179332948455874,0.9178101114283084,0.917804054733646,0.5260298297103769,0.8373948294822324,0.6906569993222651,0.7225501750710743,0.6906569993222651,0.7040958716594294,678.4624180793762,nan,nan,0.974952093905045,0.7791845034044415
10,7.500000000000001e-05,0.1947099303763787,0.9217304934682226,0.9217304934682226,0.9218111329491825,0.9217304934682226,0.9217267525083724,0.5462418062992593,0.8359893023770326,0.6938713465331707,0.7200357337893126,0.6938713465331707,0.7052439050664598,624.7626938819885,nan,nan,0.9774735063466822,0.7916697592082285
11,7.033683215379003e-05,0.1843114267889288,0.9266901714180469,0.9266901714180469,0.9267680749350817,0.9266901714180469,0.9266868257166829,0.6230146347001507,0.8448259033439832,0.6481618619470471,0.7481104909581486,0.6481618619470471,0.675804146549269,673.6804611682892,nan,nan,0.9798619875546946,0.7931490867657047
12,6.545084971874738e-05,0.17572105199434981,0.9304329522581664,0.9304329522581664,0.9304922337717402,0.9304329522581664,0.9304305572196832,0.5798086342638664,0.8347334378802569,0.7210850879656696,0.7203903691821909,0.7210850879656696,0.7207365350948581,662.1123089790344,nan,nan,0.9817041187246197,0.8151823066257302
13,6.039558454088797e-05,0.16575854226719236,0.9346230250088801,0.9346230250088801,0.9346759808436156,0.9346230250088801,0.9346210337568417,0.5925105318116999,0.842724119756115,0.6732395124373286,0.7352269311641326,0.6732395124373286,0.6952854357834972,723.2888932228088,nan,nan,0.9836713482817413,0.7952188365822956
14,5.522642316338269e-05,0.15658178018129895,0.9382605606935656,0.9382605606935657,0.9383036869806286,0.9382605606935657,0.9382590419644521,0.5779833139111487,0.8209189284157237,0.7137163837364134,0.7005650426321928,0.7137163837364134,0.7066530632999234,678.2679851055145,nan,nan,0.9854084883644317,0.8023667662365441
15,5.000000000000002e-05,0.1479482761084984,0.9419375633115388,0.9419375633115388,0.9419740872124626,0.9419375633115388,0.9419363637443248,0.613921180324697,0.8237690250457121,0.7057758587905865,0.7025250759090842,0.7057758587905865,0.7041210914276443,644.7706968784332,nan,nan,0.9869685376336483,0.800720793291495
16,4.4773576836617344e-05,0.1380027716312206,0.945667188507229,0.945667188507229,0.9456849604418792,0.945667188507229,0.9456666468640915,0.6455503941082822,0.8333864744044405,0.7008919553447978,0.7160574828209125,0.7008919553447978,0.7078882189055746,646.8142378330231,nan,nan,0.9886244266024075,0.801941263905247
17,3.9604415459112035e-05,0.13311179310360582,0.9479102258824148,0.9479102258824148,0.9479258545900402,0.9479102258824148,0.9479097715086926,0.7024333264937438,0.8317271715719129,0.653373956179617,0.7099356454384761,0.653373956179617,0.6729575101258047,699.1296348571777,nan,nan,0.9893906730130025,0.7653581911558939
18,3.4549150281252636e-05,0.12213906650544602,0.9519095417889045,0.9519095417889045,0.9519326038217698,0.9519095417889045,0.9519089282693955,0.7541542910688712,0.8174636742821075,0.7180333946103012,0.6975547019749858,0.7180333946103012,0.7065840722222707,687.6481578350067,nan,nan,0.9910241048105644,0.8037877212568911
19,2.966316784621e-05,0.11469682882098274,0.955494454895873,0.955494454895873,0.955507578109134,0.955494454895873,0.9554941343414002,0.7325744626705647,0.8308812524808205,0.6793302542325568,0.7096545701178656,0.6793302542325568,0.6920321150465908,706.5237395763397,nan,nan,0.9920649898582163,0.7855712731242386
20,2.5000000000000015e-05,0.11051846677063366,0.9572704668938208,0.9572704668938208,0.9572846948537322,0.9572704668938208,0.9572701345194707,0.732159925401156,0.8263328105987156,0.674654260446207,0.7010759694736003,0.674654260446207,0.685889186941451,726.3077886104584,nan,nan,0.9926512619197339,0.7719830720287277
21,2.0610737385376352e-05,0.10243039808081551,0.9602304868904004,0.9602304868904004,0.9602406957051823,0.9602304868904004,0.9602302663526205,0.8683006137878875,0.8101106852595344,0.726496170747748,0.69223075602437,0.726496170747748,0.7058165635917177,639.5475792884827,nan,nan,0.9936421321366651,0.8063164340523621
22,1.654346968205711e-05,0.09781475645178626,0.9626577032875956,0.9626577032875956,0.962661473858035,0.9626577032875956,0.9626576272049439,0.8379157802259989,0.8381236213145583,0.6780133033448743,0.7240296366596424,0.6780133033448743,0.6958056502179404,755.878856420517,nan,nan,0.9941761366755821,0.7803875574662014

# Loaded best model from epoch 12 with f1_macro=0.720737
# Best epoch: 12
# Training completed in 250.11 minutes
