epoch,lr,train_loss,train_acc,train_bal_acc,train_precision_macro,train_recall_macro,train_f1_macro,val_loss,val_acc,val_bal_acc,val_precision_macro,val_recall_macro,val_f1_macro,epoch_time_sec,train_top2_acc,val_top2_acc,train_auc,val_auc
1,0.00299178284305241,0.3240367124229627,0.9227844337769172,0.7572915081349191,0.8216645146019914,0.7572915081349191,0.7845471604630048,1.3212450166150707,0.8082328857611888,0.5013564956019089,0.8978960529017895,0.5013564956019089,0.44965679697731564,611.8650467395782,nan,nan,0.8860060778744101,0.6885491201476583
2,0.0029672214011007086,0.29181140166591024,0.9335311457432234,0.7938302599243494,0.8497581458600845,0.7938302599243494,0.8184724512560819,1.2917538435995264,0.8081674831097653,0.5013160094441261,0.8436230540832395,0.5013160094441261,0.44963586080186235,609.088000535965,nan,nan,0.904660854670265,0.6288823013962546
3,0.0029265847744427307,0.2829700530913825,0.934210939145791,0.7958056596191214,0.8516423282471264,0.7958056596191214,0.8204351317958953,1.2260324042417494,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,606.0908408164978,nan,nan,0.9093726253028627,0.6919491175201893
4,0.0028703181864639014,0.2781710394824345,0.9344365409123574,0.793628260812776,0.8539176136366018,0.793628260812776,0.8199500007640946,2.0923264776381485,0.8081347817840535,0.5012698499913492,0.8279684859645344,0.5012698499913492,0.44955871378659057,610.7990646362305,nan,nan,0.9065292199608167,0.6990158801032458
5,0.0027990381056766586,0.28110039806235465,0.9342199034543963,0.7891658260634125,0.8556409396298442,0.7891658260634125,0.8177514814475723,2.605961764560731,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,610.7176926136017,nan,nan,0.9043064840243362,0.6937707696055045
6,0.0027135254915624215,0.2870930745508824,0.930375709114162,0.784463744259817,0.8410514053936395,0.784463744259817,0.8092473616087377,1.1721897047475558,0.8079385738297831,0.5006559804141739,0.838742622565187,0.5006559804141739,0.4482269053683717,608.2972657680511,nan,nan,0.9037407984777093,0.7301413194124848
7,0.0026147172382160913,0.28546548017854273,0.930014148667082,0.7768218840209811,0.8436247210059192,0.7768218840209811,0.8053191935572824,2.4162399935002163,0.8076835034892315,0.4999797569211087,0.40385495833714863,0.4999797569211087,0.44680581635569644,605.6312890052795,nan,nan,0.8998025774910878,0.4050055875028981
8,0.0025036959095382874,0.2826923216006546,0.9324016428589571,0.7842800506492813,0.8502020288583467,0.7842800506492813,0.812581126246727,1.3836902189922795,0.8078404698526478,0.5003231292517006,0.9039082940868655,0.5003231292517006,0.44749238156211857,606.6350848674774,nan,nan,0.9047393381661184,0.7836200333055108
9,0.00238167787843871,0.27037258072751896,0.9343394275691335,0.7934394042175907,0.8535903317895025,0.7934394042175907,0.8197057234730564,2.1330996184749145,0.8085533587531638,0.5022675780568991,0.8795627216825175,0.5022675780568991,0.451589920298573,610.9782359600067,nan,nan,0.9081978690733222,0.7372049892111274
10,0.0022500000000000003,0.2771905767193711,0.9331636090904065,0.7879702268216852,0.8514945534701333,0.7879702268216852,0.8154366112725923,3.1552472242751515,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,607.5116565227509,nan,nan,0.9041445518818557,0.6673951719733554
11,0.0021101049646137008,0.2679074454175296,0.935755788328769,0.7953802817269744,0.8588908613649312,0.7953802817269744,0.8229504741880129,2.2872416135804947,0.8081020804583418,0.5010034013605442,0.9040140015702696,0.5010034013605442,0.4489140048918189,610.5112345218658,nan,nan,0.90661334154807,0.7778176994244852
12,0.0019635254915624217,0.2576819847467813,0.9372543219172863,0.7978108040981005,0.8643515513249873,0.7978108040981005,0.8265567408624876,1.67245904021917,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,606.9574115276337,nan,nan,0.909591401921946,0.7881139919996047
13,0.0018118675362266393,0.2501431712606758,0.9364475341428103,0.7951630077671836,0.8622731219309805,0.7951630077671836,0.8240804492332047,2.406170665446505,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,617.4451928138733,nan,nan,0.9137896227081216,0.7620651556681751
